hs6;hs;sitc3;cod_omc_2;cat_omc_2_en;cod_omc_1;cat_omc_1_en;cat_omc_2;cat_omc_1
'200811;HS 2017;'05892;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200819;HS 2017;'05892;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200820;HS 2017;'05893;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200830;HS 2017;'05894;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200850;HS 2017;'05895;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200860;HS 2017;'05895;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200870;HS 2017;'05895;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200880;HS 2017;'05896;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200892;HS 2007;'05897;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200899;HS 2017;'05896;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200911;HS 2017;'0591;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200912;HS 2017;'0591;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200919;HS 2017;'0591;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200929;HS 2017;'0592;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200939;HS 2017;'0593;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200969;HS 2017;'05993;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200971;HS 2017;'05994;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200979;HS 2017;'05994;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200980;HS 2007;'05995;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200990;HS 2017;'05996;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'210111;HS 2017;'07131;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'210112;HS 2017;'07131;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'210120;HS 2017;'07432;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'210130;HS 2017;'07133;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'210210;HS 2017;'0986;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'210220;HS 2017;'0986;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'210230;HS 2017;'0986;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'210310;HS 2017;'09841;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'210320;HS 2017;'09842;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'210330;HS 2017;'09843;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'210390;HS 2017;'09849;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'210410;HS 2017;'0985;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'210500;HS 2017;'02233;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'210610;HS 2017;'09899;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'210690;HS 2017;'09899;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'220110;HS 2017;'11101;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'220190;HS 2017;'11101;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'220210;HS 2017;'11102;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'220290;HS 2012;'11102;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'220300;HS 2017;'1123;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'220410;HS 2017;'11215;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'220421;HS 2017;'11217;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'220429;HS 2017;'11217;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'220430;HS 2017;'11211;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'220600;HS 2017;'1122;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'220710;HS 2017;'51215;3302;Chemicals;33;Manufactures;Productos químicos;Manufacturas
'220720;HS 2017;'51216;3302;Chemicals;33;Manufactures;Productos químicos;Manufacturas
'220830;HS 2017;'11241;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'220870;HS 2017;'11249;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'220890;HS 2017;'11249;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'220900;HS 2017;'09844;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'230110;HS 2017;'08141;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'230120;HS 2017;'08142;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'230210;HS 2017;'08124;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'230230;HS 2017;'08126;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'230250;HS 2017;'08123;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'230310;HS 2017;'08151;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'230400;HS 2017;'08131;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'230630;HS 2017;'08135;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'230690;HS 2017;'08139;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'230800;HS 2017;'08119;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
