Año;Mes;NCM;Pdes;Pnet(kg);FOB(u$s)
2020;01;04cccccc;222;     1388468,440;      4506199,90                                                                                                                                                  
2020;01;04cccccc;225;     1093377,890;      1596481,21                                                                                                                                                  
2020;01;04cccccc;310;      536906,580;      1665567,15                                                                                                                                                  
2020;01;04cccccc;320;      850065,030;      2453858,50                                                                                                                                                  
2020;01;04cccccc;444;     1410330,880;      5081779,66                                                                                                                                                  
2020;01;04012010;221;       56025,000;        31281,36                                                                                                                                                  
2020;01;04021010;203;      724300,000;      1834862,50                                                                                                                                                  
2020;01;04021010;999;       50000,000;       130000,00                                                                                                                                                  
2020;01;04022110;102;     6908600,000;     21345607,00                                                                                                                                                  
2020;01;04022110;203;     3042480,000;      9517191,26                                                                                                                                                  
2020;01;04022110;310;      602000,000;      1896260,00                                                                                                                                                  
2020;01;04022110;999;       25200,000;        81396,00                                                                                                                                                  
2020;01;04041000;203;     1122800,000;      2043225,00                                                                                                                                                  
2020;01;04041000;205;      200000,000;       203000,00                                                                                                                                                  
2020;01;04041000;208;      417010,000;       664725,34                                                                                                                                                  
2020;01;04041000;310;      826725,000;      1142512,38                                                                                                                                                  
2020;01;04051000;221;        4638,000;        23837,91                                                                                                                                                  
2020;01;04051000;444;     1581800,000;      7112427,20                                                                                                                                                  
2020;01;04061010;203;      799018,000;      2624181,00                                                                                                                                                  
2020;01;04061010;208;      222424,050;       752005,51                                                                                                                                                  
2020;01;04061010;221;       91357,480;       308689,77                                                                                                                                                  
2020;01;04062000;221;       24791,600;       190591,85                                                                                                                                                  
2020;01;04064000;221;        3226,190;        22670,75                                                                                                                                                  
2020;01;04069010;203;      174534,800;      1171675,45                                                                                                                                                  
2020;01;04069010;208;       63984,550;       432996,43                                                                                                                                                  
2020;01;04069010;212;       68484,570;       425724,92                                                                                                                                                  
2020;01;04069010;221;        5299,530;        37643,34                                                                                                                                                  
2020;01;04069010;444;      547781,240;      3124341,28                                                                                                                                                  
2020;01;04069020;203;      191032,000;       662308,40                                                                                                                                                  
2020;01;04069020;208;      462356,250;      1542057,25                                                                                                                                                  
2020;01;04069020;221;      143408,470;       508389,42                                                                                                                                                  
2020;01;04069020;444;      949745,780;      3316289,88                                                                                                                                                  
2020;01;04069030;221;        9009,470;        34293,30                                                                                                                                                  
2020;01;04089100;208;       28000,000;       144558,78                                                                                                                                                  
2020;01;04090000;212;     1733283,970;      3621090,03                                                                                                                                                  
2020;01;04090000;320;      212125,000;       561857,91                                                                                                                                                  
2020;01;04090000;438;      941139,500;      2134112,83                                                                                                                                                  
2020;01;05cccccc;110;      150730,000;       122606,60                                                                                                                                                  
2020;01;05cccccc;203;       17969,160;       334977,00                                                                                                                                                  
2020;01;05cccccc;221;      144257,000;        94116,11                                                                                                                                                  
2020;01;05cccccc;310;      142755,080;       323587,85                                                                                                                                                  
2020;01;05cccccc;335;       15143,000;        14681,29                                                                                                                                                  
2020;01;05cccccc;341;       33009,200;       220874,99                                                                                                                                                  
